"","MovieID","Title","Genres","Year","average_rating","total_ratings","genre"
"91",589,"Batman (1989)","Action|Adventure|Crime|Drama",1989,0.438576158940397,2649,"Action"
"148",1198,"Army of Darkness (1993)","Action|Adventure|Comedy|Horror|Sci-Fi",1993,0.416225165562914,2514,"Action"
"93",608,"Hellraiser: Bloodline (1996)","Action|Horror|Sci-Fi",1996,0.416059602649007,2513,"Action"
"147",1197,"Alien (1979)","Action|Horror|Sci-Fi|Thriller",1979,0.383774834437086,2318,"Action"
"134",1097,"Palookaville (1996)","Action|Drama",1996,0.375662251655629,2269,"Action"
"82",541,"Striking Distance (1993)","Action",1993,0.298013245033113,1800,"Action"
"146",1193,"Star Wars: Episode VI - Return of the Jedi (1983)","Action|Adventure|Romance|Sci-Fi|War",1983,0.285596026490066,1725,"Action"
"154",1221,"Terminator, The (1984)","Action|Sci-Fi|Thriller",1984,0.280132450331126,1692,"Action"
"129",1036,"Ghost and the Darkness, The (1996)","Action|Adventure",1996,0.275827814569536,1666,"Action"
"50",377,"True Lies (1994)","Action|Adventure|Comedy|Romance",1994,0.27317880794702,1650,"Action"
"46",589,"Batman (1989)","Action|Adventure|Crime|Drama",1989,0.438576158940397,2649,"Adventure"
"94",1198,"Army of Darkness (1993)","Action|Adventure|Comedy|Horror|Sci-Fi",1993,0.416225165562914,2514,"Adventure"
"97",1240,"Stand by Me (1986)","Adventure|Comedy|Drama",1986,0.347350993377483,2098,"Adventure"
"931",1193,"Star Wars: Episode VI - Return of the Jedi (1983)","Action|Adventure|Romance|Sci-Fi|War",1983,0.285596026490066,1725,"Adventure"
"821",1036,"Ghost and the Darkness, The (1996)","Action|Adventure",1996,0.275827814569536,1666,"Adventure"
"31",377,"True Lies (1994)","Action|Adventure|Comedy|Romance",1994,0.27317880794702,1650,"Adventure"
"501",648,"Dragonheart (1996)","Action|Adventure|Fantasy",1996,0.252814569536424,1527,"Adventure"
"122",1527,"Hercules (1997)","Adventure|Animation|Children's|Comedy|Musical",1997,0.227980132450331,1377,"Adventure"
"67",908,"Wizard of Oz, The (1939)","Adventure|Children's|Drama|Musical",1939,0.217715231788079,1315,"Adventure"
"112",1356,"Star Trek IV: The Voyage Home (1986)","Action|Adventure|Sci-Fi",1986,0.216887417218543,1310,"Adventure"
"57",2028,"Sleeping Beauty (1959)","Animation|Children's|Musical",1959,0.439238410596026,2653,"Animation"
"12",593,"Pinocchio (1940)","Animation|Children's",1940,0.42682119205298,2578,"Animation"
"1",1,"Toy Story (1995)","Animation|Children's|Comedy",1995,0.34387417218543,2077,"Animation"
"34",1136,"Faust (1994)","Animation|Comedy|Thriller",1994,0.264735099337748,1599,"Animation"
"11",592,"Beauty and the Beast (1991)","Animation|Children's|Musical",1991,0.236920529801324,1431,"Animation"
"41",1527,"Hercules (1997)","Adventure|Animation|Children's|Comedy|Musical",1997,0.227980132450331,1377,"Animation"
"36",1206,"Grand Day Out, A (1992)","Animation|Comedy",1992,0.203476821192053,1229,"Animation"
"502",2012,"Lady and the Tramp (1955)","Animation|Children's|Comedy|Musical|Romance",1955,0.190066225165563,1148,"Animation"
"21",736,"Close Shave, A (1995)","Animation|Comedy|Thriller",1995,0.183774834437086,1110,"Animation"
"92",3361,"Creature Comforts (1990)","Animation|Comedy",1990,0.181291390728477,1095,"Animation"
"23",260,"Little Princess, A (1995)","Children's|Drama",1995,0.495198675496689,2991,"Children's"
"180",2028,"Sleeping Beauty (1959)","Animation|Children's|Musical",1959,0.439238410596026,2653,"Children's"
"47",593,"Pinocchio (1940)","Animation|Children's",1940,0.42682119205298,2578,"Children's"
"13",1,"Toy Story (1995)","Animation|Children's|Comedy",1995,0.34387417218543,2077,"Children's"
"5",34,"Babe (1995)","Children's|Comedy|Drama",1995,0.289900662251656,1751,"Children's"
"144",1968,"Blank Check (1994)","Children's|Comedy",1994,0.254801324503311,1539,"Children's"
"461",592,"Beauty and the Beast (1991)","Animation|Children's|Musical",1991,0.236920529801324,1431,"Children's"
"110",1527,"Hercules (1997)","Adventure|Animation|Children's|Comedy|Musical",1997,0.227980132450331,1377,"Children's"
